"","chr_code","kendall_cor","kendall_p","DIR"
"1","Younger Than 18",0.696969696969697,0.00160863093201934,"Destructive"
"2","Sexual Trans Infect",0.575757575757576,0.00916715182189101,"Destructive"
"3","Food Environment Index",0.476731294622796,0.0365999234911262,"Destructive"
"4","Prev Hospital Stays",0.454545454545455,0.0396692565644989,"Destructive"
"5","Median Household Income",0.424242424242424,0.0548539399001322,"Destructive"
"6","Prim Care Physicians Ratio",0.424242424242424,0.0548539399001322,"Destructive"
"7","African American",0.393939393939394,0.0746048215605731,"Destructive"
"8","Segregation(NonWhite/White)",0.393939393939394,0.0746048215605731,"Destructive"
"9","Diabetes Prevalence",0.381690510345287,0.0857312465587557,"Destructive"
"10","Physically Inactive",0.381690510345287,0.0857312465587557,"Destructive"
"11","20th Percentile Income",0.363636363636364,0.0998170620041217,"Destructive"
"12","Prim Care Physicians Rate",-0.424242424242424,0.0548539399001322,"Protective"
"13","Food Insecure",-0.454545454545455,0.0396692565644989,"Protective"
"14","Association Rate",-0.484848484848485,0.0282123019745987,"Protective"
"15","Uninsured Children",-0.484848484848485,0.0282123019745987,"Protective"
