"","chr_code","kendall_cor","kendall_p","DIR"
"1","Hospital Beds over Population",0,1,"Protective"
"2","20th Percentile Income",0.363636363636364,0.0998170620041217,"Destructive"
"3","80th Percentile Income",0.333333333333333,0.131402041944647,"Destructive"
"4","Association Rate",-0.484848484848485,0.0282123019745987,"Protective"
"5","Air Quality",0.137408583724303,0.536173933898877,"Destructive"
"6","Sexual Trans Infect",0.575757575757576,0.00916715182189101,"Destructive"
"7","Clinical Care",0.151515151515152,0.492886235172921,"Destructive"
"8","Dentist Rate",-0.0606060606060606,0.783861620831806,"Protective"
"9","Food Environment Index",0.476731294622796,0.0365999234911262,"Destructive"
"10","Graduation Rate",0.121212121212121,0.583293449914782,"Destructive"
"11","HIV Prevalence Rate",0.0606060606060606,0.783861620831806,"Destructive"
"12","Median Household Income",0.424242424242424,0.0548539399001322,"Destructive"
"13","Inadequate Facilities",-0.0303030303030303,0.890916107544584,"Protective"
"14","Income Ratio",0.121212121212121,0.583293449914782,"Destructive"
"15","Mentally Unhealthy Days",-0.212121212121212,0.337047326520083,"Protective"
"16","Mental Health Prov Rate",-0.212121212121212,0.337047326520083,"Protective"
"17","Mental Health Prov Ratio",0.229014306207172,0.302533741174572,"Destructive"
"18","Social Associations",0.242424242424242,0.272571118832529,"Destructive"
"19","Other Prim Care Prov Rate",-0.121212121212121,0.583293449914782,"Protective"
"20","Other Prim Care Prov Ratio",0.121212121212121,0.583293449914782,"Destructive"
"21","Overcrowding",0.303030303030303,0.170234420060903,"Destructive"
"22","Prim Care Physicians Rate",-0.424242424242424,0.0548539399001322,"Protective"
"23","Prim Care Physicians Ratio",0.424242424242424,0.0548539399001322,"Destructive"
"24","Older Than 65",0,1,"Protective"
"25","Adult Obesity",0.351155269517664,0.113903234135382,"Destructive"
"26","Adult Smoking",0.0606060606060606,0.783861620831806,"Destructive"
"27","African American",0.393939393939394,0.0746048215605731,"Destructive"
"28","Alcohol Impaired",0.151515151515152,0.492886235172921,"Destructive"
"29","Amer Indian/Alaskan Native",0.0606060606060606,0.783861620831806,"Destructive"
"30","Asian",0,1,"Protective"
"31","Children In Poverty",-0.242424242424242,0.272571118832529,"Protective"
"32","Diabetes Prevalence",0.381690510345287,0.0857312465587557,"Destructive"
"33","Disconnected Youth",0.121212121212121,0.583293449914782,"Destructive"
"34","Driving Alone",0.212121212121212,0.337047326520083,"Destructive"
"35","Excessive Drinking",-0.0909090909090909,0.680753382417063,"Protective"
"36","Fair Or Poor Health",0,1,"Protective"
"37","Female",-0.0909090909090909,0.680753382417063,"Protective"
"38","Food Insecure",-0.454545454545455,0.0396692565644989,"Protective"
"39","Freq Mental Distress",-0.121212121212121,0.583293449914782,"Protective"
"40","Freq Physical Distress",-0.181818181818182,0.410581595923721,"Protective"
"41","Hispanic",0.121212121212121,0.583293449914782,"Destructive"
"42","Homeownership",0,1,"Protective"
"43","Insufficient Sleep",0.303030303030303,0.170234420060903,"Destructive"
"44","Low Birthweight",0.121212121212121,0.583293449914782,"Destructive"
"45","Younger Than 18",0.696969696969697,0.00160863093201934,"Destructive"
"46","Access To Healthy Foods",-0.0909090909090909,0.680753382417063,"Protective"
"47","Drive Alone Long Commute",0.272727272727273,0.217088950766232,"Destructive"
"48","Native Hawaiian Islander",0.303030303030303,0.170234420060903,"Destructive"
"49","Non-Hispanic White",-0.333333333333333,0.131402041944647,"Protective"
"50","Not Proficient In English",0.212121212121212,0.337047326520083,"Destructive"
"51","Physically Inactive",0.381690510345287,0.0857312465587557,"Destructive"
"52","Rural",-0.181818181818182,0.410581595923721,"Protective"
"53","Severe Housing Costs",-0.0303030303030303,0.890916107544584,"Protective"
"54","Severe Housing Problems",-0.0606060606060606,0.783861620831806,"Protective"
"55","Single Parent Households",-0.242424242424242,0.272571118832529,"Protective"
"56","Some College",0,1,"Protective"
"57","Pct Unemployed",0.151515151515152,0.492886235172921,"Destructive"
"58","Pct Uninsured",-0.181818181818182,0.410581595923721,"Protective"
"59","Uninsured Adults",-0.0909090909090909,0.680753382417063,"Protective"
"60","Uninsured Children",-0.484848484848485,0.0282123019745987,"Protective"
"61","Flu Vaccinated",0.167506302543202,0.472783086120158,"Destructive"
"62","Lack of Exercise Opps",0.242424242424242,0.272571118832529,"Destructive"
"63","Physical Environment",-0.0909090909090909,0.680753382417063,"Protective"
"64","Physically Unhealthy Days",-0.303030303030303,0.170234420060903,"Protective"
"65","Presence Of Violation",-0.348155311911396,0.174231388248025,"Protective"
"66","Prev Hospital Stays",0.454545454545455,0.0396692565644989,"Destructive"
"67","Segregation(Black/White)",0.121212121212121,0.583293449914782,"Destructive"
"68","Segregation(NonWhite/White)",0.393939393939394,0.0746048215605731,"Destructive"
"69","Socio-Economic",-0.121212121212121,0.583293449914782,"Protective"
"70","Teen Birth Rate",0,1,"Protective"
"71","Violent Crime Rate",-0.151515151515152,0.492886235172921,"Protective"
